FOMC Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Hawkish Score,Neutral Score,Dovish Score,easing,accommodative,supportive,expansion,inflation,tightening,restrictive
2006-08-08,3.7221801,-0.15212053,1.3736031,2.0034816,0.5938431,-0.8447871,-0.8840607,0.6797591,-1.7923963,-0.15061608,-0.43538702,-0.47369677,-0.0757417,0.32678336,-0.25957403,-0.696326,0.36200652,1.0032153,0.12690769,-0.124005616,-0.9465885,0.52793217,-0.27479634,0.24569651,-0.46821752,-0.2565846,-0.52704257,-0.40890098,-0.5390634,0.0984689,0.2474269,0.06649402,0.6860791,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006-09-20,4.7285566,1.7884674,0.87040687,0.6853786,0.5153993,-2.135775,-0.4209339,1.1067944,-1.3267589,0.22984542,-0.089203745,-0.99466175,0.021641795,0.7097353,0.028505081,-0.12888058,0.060571566,0.7493525,-0.1959424,-0.4474245,-0.66080827,0.1004332,-0.045861986,0.20961654,-0.3816785,0.16104831,-0.44056353,-0.4248718,-0.36170414,-0.27328497,0.119237304,0.112516515,0.76824623,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006-10-25,7.5985904,0.5974941,-0.06598212,-1.2646037,1.3575597,-1.270191,-1.462582,1.40475,-1.3107905,-0.21434453,0.39235613,-0.7425016,1.6825497,0.9667251,-0.19661257,-0.29169708,0.17339027,0.25324014,-0.03694596,0.27937633,-0.64104605,1.4868536,-0.35795373,0.16446592,-0.11840926,-0.5721604,0.07963406,0.116591305,-0.3263431,0.2640396,0.13563775,0.37689582,0.48746637,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006-12-12,7.401857,0.30539885,0.062595494,-1.2126051,1.1393408,-1.0567908,-1.5285715,1.1166601,-1.4976882,-0.45289734,0.21114972,-0.86009306,1.3353767,0.8591987,-0.34706283,-0.2988335,-0.067725465,0.44731516,0.00022885112,0.16745451,-0.7022101,1.0654974,-0.38711074,0.46408662,-0.16864602,-0.40058756,0.0735,0.09285208,-0.36541426,0.15624192,0.16104719,0.34738177,0.49157107,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-01-31,5.267913,2.1009815,1.3091295,2.0840158,0.3923806,-1.9565707,-0.25395334,1.2623513,-1.0929958,0.69431865,-0.54864734,-0.68595,0.058571942,-0.6175029,-0.00568726,0.5556453,0.4688807,-0.6571275,-0.05280367,-0.059262108,0.13928862,-0.13365403,-0.12861143,0.36521223,-0.57142,0.15779671,-0.13291351,-0.13651793,0.1937286,0.10326258,0.15000835,0.09469496,0.75529665,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-03-21,4.297587,3.176355,0.29097316,2.1635177,0.3952466,-3.7601564,-0.6573569,1.0686023,-0.83359987,0.7513017,0.31346506,-0.8030345,-0.57937145,-1.0773836,0.24061397,0.4232616,0.073605224,-1.0037773,-0.24626562,0.47570333,0.45243573,-0.29757872,-0.34790927,0.13670355,-0.54290545,0.32239622,0.019047614,-0.034175593,0.1879816,-0.38716573,0.08733109,0.09884032,0.8138286,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-05-09,4.5654774,2.9935555,0.2051766,2.182157,0.4574431,-3.1292448,-0.33788335,1.1268061,-0.95779395,1.0292197,0.24664386,-0.546272,-0.12349916,-0.97919005,0.011840819,0.28074446,0.47092053,-1.2059505,-0.31534734,0.6773653,0.41695544,0.030036237,-0.42570493,-0.0043680477,-0.4660494,0.4132101,0.102895625,-0.09645653,0.3914791,-0.06500842,0.09722291,0.09143276,0.8113444,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-06-28,4.8936386,1.124631,0.43668234,3.1701748,0.9037894,-0.8356131,-0.7534421,0.67817175,-0.9703016,0.19457862,-0.36287892,-0.23111576,-0.16319911,-1.3487008,-0.05632885,0.020573005,0.18543871,-1.0509467,0.0030194041,0.44880384,0.28961104,0.036807317,-0.069898665,0.17005752,-0.71012896,0.26949418,-0.060772937,0.06070273,0.45496047,-0.047347274,0.23792152,0.075974554,0.68610394,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-08-07,6.171672,-1.2309979,0.017460478,2.9262254,1.3828034,1.0202991,-0.99684894,0.28680462,-1.6699618,-0.84109795,0.086289644,0.13796948,0.46192297,-1.8359869,-0.58734256,-0.2696637,-0.36446884,-0.73934495,0.11100888,0.043358117,0.11861177,0.28862396,-0.11649639,-0.030818248,-0.34737217,-0.0118010845,-0.028715806,0.044873424,0.30862674,-0.77820075,0.56330925,0.13241494,0.30427575,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-09-18,6.9139924,-0.08082202,2.6279402,-2.842984,2.327773,-0.750151,0.51778,-0.39873603,0.1929333,0.26887116,-0.38312867,0.8948452,0.17676075,-0.24514101,-0.08690442,0.8023322,-0.64950186,-0.8420126,1.1905667,-1.1425688,-0.19358808,-0.60573554,0.75034624,-0.6738394,0.16150974,-0.18630198,-0.1877372,0.39139557,-0.36802205,0.11211677,0.1691975,0.26947972,0.5613228,0.0,0.0,0.0,0.0,0.6564201800457916,0.7543954846290176,0.0
